Title,Price,Bedrooms,Bathrooms,Area,Location,Property_Type,URL,Page
"5 Bedrooms Villa For Sale Bosher, Muscat","OMR240,000",5,5,404 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-130306962.html,5
"3 Bedrooms Villa For Sale in Al Sifah, Muscat","OMR716,000",3,3,166 Sq. M.,"Yiti, Muscat",Villa,https://www.bayut.om/en/property/details-130300163.html,5
"Studio Apartment For Sale in Salalah, Dhofar","OMR45,000",N/A,1,55 Sq. M.,"Salalah, Dhofar",Apartment,https://www.bayut.om/en/property/details-130273198.html,5
5 Bedrooms Villa For Sale Al Maabilah Muscat,"OMR154,900",5,6,400 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130270855.html,5
"5 Bedrooms Villa For Sale Al Maabilah, Muscat","OMR227,100",5,6,400 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130270861.html,6
"5 Bedroom Villa For Sale in Al Maabilah, Muscat","OMR203,300",5,5,500 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130270875.html,6
"2 Bedroom Apartment For Sale in Muscat Hills, Muscat","OMR85,000",2,3,135 Sq. M.,"Muscat Hills, Muscat",Apartment,https://www.bayut.om/en/property/details-130261444.html,6
"Studio Apartment For Sale in Azaiba, Muscat","OMR15,000",N/A,N/A,90 Sq. M.,"Azaiba, Muscat",Apartment,https://www.bayut.om/en/property/details-130283755.html,6
2 Bedroom Apartment For Sale Muscat - Other,"OMR155,000",2,2,156 Sq. M.,"Muscat - Other, Muscat",Apartment,https://www.bayut.om/en/property/details-130257370.html,6
"1 Bedroom Apartment For Sale in The Wave (Almouj), Muscat","OMR125,000",1,1,70 Sq. M.,"The Wave (Almouj), Muscat",Apartment,https://www.bayut.om/en/property/details-130240523.html,6
"2 Bedrooms Apartment For Sale Al Hail, Muscat","OMR69,000",2,3,102 Sq. M.,"Al Hail, Muscat",Apartment,https://www.bayut.om/en/property/details-130291151.html,6
"6 Bedroom Villa For Sale in Al Hail, Muscat","OMR210,000",6,8,480 Sq. M.,"Al Hail, Muscat",Villa,https://www.bayut.om/en/property/details-130298114.html,6
"1 Bedroom Apartment For Sale Al Seeb, Muscat","OMR26,500",1,2,70 Sq. M.,"Al Seeb, Muscat",Apartment,https://www.bayut.om/en/property/details-130287249.html,6
"Land Residential For Sale Al Mawaleh, Muscat","OMR105,000",N/A,N/A,690 Sq. M.,"Al Mawaleh, Muscat",Other,https://www.bayut.om/en/property/details-130234981.html,6
"5 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","OMR588,000",5,5,722 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130266493.html,6
"Land + For Sale + Barka, Al Batinah","OMR15,000",N/A,N/A,300 Sq. M.,"Barka, Al Batinah",Other,https://www.bayut.om/en/property/details-130299785.html,6
"4 Bedrooms Villa For Sale in The Wave (Almouj), Muscat","OMR205,000",4,4,175 Sq. M.,"The Wave (Almouj), Muscat",Villa,https://www.bayut.om/en/property/details-130233566.html,6
4 Bedrooms Villa For Sale Al Khoud Muscat,"OMR117,000",4,6,328 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130264669.html,6
"Residential Land For Sale in Shinas, Al Batinah","OMR25,000",N/A,N/A,"5,281 Sq. M.","Shinas, Al Batinah",Other,https://www.bayut.om/en/property/details-130217993.html,6
"Residential Land For Sale in Shinas, Al Batinah","OMR31,500",N/A,N/A,"6,956 Sq. M.","Shinas, Al Batinah",Other,https://www.bayut.om/en/property/details-130218065.html,6
"Land For Sale in Saham, Al Batinah","OMR4,500",N/A,N/A,607 Sq. M.,"Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130218083.html,6
"4 Bedrooms Villa For Sale Al Sifah, Muscat","OMR335,000",4,4,344 Sq. M.,"Al Sifah, Muscat",Villa,https://www.bayut.om/en/property/details-130225728.html,6
"7 Bedroom Villa For Sale in Muscat, Bosher","OMR146,000",7,7,240 Sq. M.,"Bosher, Muscat",Villa,https://www.bayut.om/en/property/details-130242325.html,6
"5 Bedroom Villa For Sale in Al Khoud, Muscat","OMR137,000",5,6,420 Sq. M.,"Al Khoud, Muscat",Villa,https://www.bayut.om/en/property/details-130215187.html,6
"4 Bedrooms Villa For Sale Sumail, Al Dakhiliya","OMR47,000",4,5,260 Sq. M.,"Sumail, Al Dakhiliya",Villa,https://www.bayut.om/en/property/details-130280783.html,6
"3 Bedrooms Apartment For Sale Al Maabilah, Muscat","OMR36,500",3,3,126 Sq. M.,"Al Maabilah, Muscat",Apartment,https://www.bayut.om/en/property/details-130271009.html,6
"Residential Land For Sale Saham, Al Batinah","OMR5,200",N/A,N/A,600 Sq. M.,"Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130215926.html,6
"3 Bedrooms Villa For Sale Al Amarat, Muscat","OMR39,000",3,3,423 Sq. M.,"Al Amarat, Muscat",Villa,https://www.bayut.om/en/property/details-130324655.html,6
"3 Bedroom Villa For Sale in Al Sifah, Muscat","OMR455,000",3,3,120 Sq. M.,"Yiti, Muscat",Villa,https://www.bayut.om/en/property/details-130300155.html,7
"5 Bedrooms Villa For Sale in Sohar, Al Batinah","OMR48,000",5,6,304 Sq. M.,"Sohar, Al Batinah",Villa,https://www.bayut.om/en/property/details-130219535.html,7
Residential Land For Sale Al Rustaq - Al Batinah,"OMR100,000",N/A,N/A,"3,180 Sq. M.","Al Rustaq, Al Batinah",Other,https://www.bayut.om/en/property/details-130269303.html,7
"3 Bedroom Villa For Sale Al Maabilah, Muscat","OMR176,000",3,4,240 Sq. M.,"Al Maabilah, Muscat",Villa,https://www.bayut.om/en/property/details-130263058.html,7
"Residential Land For Sale in Al Masn'a, Al Batinah","OMR5,950",N/A,N/A,600 Sq. M.,"Al Masn'a, Al Batinah",Other,https://www.bayut.om/en/property/details-130258009.html,7
"Residential Land For Sale in Saham, Al Batinah","OMR9,300",N/A,N/A,757 Sq. M.,"Saham, Al Batinah",Other,https://www.bayut.om/en/property/details-130283721.html,7
"1 Bedroom Apartment For Sale Al Duqum, Al Wusta","OMR23,000",1,1,35 Sq. M.,"Al Duqum, Al Wusta",Apartment,https://www.bayut.om/en/property/details-130258834.html,7
"4 Bedrooms Villa For Sale Al Rustaq, Al Batinah","OMR49,000",4,6,293 Sq. M.,"Al Rustaq, Al Batinah",Villa,https://www.bayut.om/en/property/details-130237219.html,7
"Residential Land For Sale in Al Maabilah, Muscat","OMR130,000",N/A,N/A,500 Sq. M.,"Al Maabilah, Muscat",Other,https://www.bayut.om/en/property/details-130252768.html,7
"5 Bedrooms Villa For Sale Ansab, Muscat","OMR105,000",5,6,422 Sq. M.,"Ansab, Muscat",Villa,https://www.bayut.om/en/property/details-130257089.html,7
